gbifID,publishingOrgKey
2365686427,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686418,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686416,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686414,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686412,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686409,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686408,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686407,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686406,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686405,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686403,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686397,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686396,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686394,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686393,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686392,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686391,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686390,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686389,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686388,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686387,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686386,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686385,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686384,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686382,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686381,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686380,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686379,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686377,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686376,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686375,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686373,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686370,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686369,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686367,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686366,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686364,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686362,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686360,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686359,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686358,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686356,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686355,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686354,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
2365686353,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4
